deg,seed,n,b_end,rootA,ratio,strict,loose
1,1,2876,2.8061389037458793,1.9759704589711837,1.4201320120984673,0,0
1,1,2015,1.70254835527952,1.9759704589711837,0.86162642136157,0,0
1,2,3341,0.1064778131327989,0.8763094322535601,0.12150709465602277,0,0
1,2,4219,1.8558143375234701,0.8763094322535601,2.1177614541372303,0,1
1,3,2813,2.2129360300403076,1.5493172379986886,1.428329831854734,0,0
1,3,5550,3.1276197871668665,1.5493172379986886,2.0187084416661696,0,0
1,4,3879,3.4008567477763276,1.7707237379366545,1.9206026750051899,0,0
1,4,2413,0.7985645349240363,1.7707237379366545,0.4509820012096116,0,0
1,5,2558,0.7080917210759171,0.4351249074119506,1.6273297828146107,0,0
1,5,1760,1.2792323994480537,0.4351249074119506,2.9399199578270796,0,0
2,1,3368,5.0908486652584015,1.241932202094442,4.099135731139751,0,0
2,1,2880,0.33536298988608526,1.241932202094442,0.270033250865479,0,0
2,1,3365,4.5063820862952655,1.241932202094442,3.6285250343742836,0,0
2,1,2889,0.33536132094535304,1.241932202094442,0.27003190703952024,0,0
2,1,2359,9.175971270840373,1.241932202094442,7.38846392368735,0,0
2,1,3003,9.935665972988845,1.241932202094442,8.000167767800011,0,0
2,2,3970,6.16372977596148,2.9838323148328487,2.065709170492299,0,0
2,2,1594,3.0857811178834704,2.9838323148328487,1.0341670684856608,0,0
2,2,2719,1.506328628864116,2.9838323148328487,0.5048301881362589,0,0
2,2,2347,1.0618823103579869,2.9838323148328487,0.3558786816133374,0,0
2,2,5003,4.348170276453334,2.9838323148328487,1.45724351024629,0,0
2,2,1836,0.7427473063150708,2.9838323148328487,0.24892394342095553,0,0
2,3,2115,6.873950040159854,1.2492027661927643,5.502669563492734,0,0
2,3,2897,2.567819263200819,1.2492027661927643,2.0555664241977665,0,0
2,3,2797,35.18386493989619,1.2492027661927643,28.165055259305255,0,0
2,3,1165,30.988445162416035,1.2492027661927643,24.806577443676755,0,0
2,4,7025,11.807327892268571,4.972875658231091,2.3743460934369254,0,0
